,movieId,title,userId,avgRating,numVotes,score,genres,tag,features
0,1,Toy Story (1995),336,3.8333333333333335,3,3.7887139533433793,Adventure|Animation|Children|Comedy|Fantasy,pixar,Adventure Animation Children Comedy Fantasy pixar
1,2,Jumanji (1995),62,3.75,4,3.7434206370451895,Adventure|Children|Fantasy,fantasy,Adventure Children Fantasy fantasy
2,3,Grumpier Old Men (1995),289,2.5,2,3.1688946572307475,Comedy|Romance,moldy,Comedy Romance moldy
3,5,Father of the Bride Part II (1995),474,1.5,2,2.711680416131435,Comedy,pregnancy,Comedy pregnancy
4,7,Sabrina (1995),474,3.0,1,3.5153039240699813,Comedy|Romance,remake,Comedy Romance remake
5,11,"American President, The (1995)",474,2.5,2,3.1688946572307475,Comedy|Drama|Romance,politics,Comedy Drama Romance politics
6,14,Nixon (1995),474,3.0,2,3.397501777780404,Drama,politics,Drama politics
7,16,Casino (1995),474,4.0,1,3.811660199373625,Crime|Drama,Mafia,Crime Drama Mafia
8,17,Sense and Sensibility (1995),474,5.0,1,4.108016474677269,Drama|Romance,Jane Austen,Drama Romance Jane Austen
9,21,Get Shorty (1995),474,4.0,1,3.811660199373625,Comedy|Crime|Thriller,Hollywood,Comedy Crime Thriller Hollywood
10,22,Copycat (1995),474,3.0,1,3.5153039240699813,Crime|Drama|Horror|Mystery|Thriller,serial killer,Crime Drama Horror Mystery Thriller serial killer
11,25,Leaving Las Vegas (1995),474,3.5,1,3.6634820617218034,Drama|Romance,alcoholism,Drama Romance alcoholism
12,26,Othello (1995),474,3.5,1,3.6634820617218034,Drama,Shakespeare,Drama Shakespeare
13,28,Persuasion (1995),474,4.5,2,4.083323139429374,Drama|Romance,In Netflix queue,Drama Romance In Netflix queue
14,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",474,3.5,1,3.6634820617218034,Adventure|Drama|Fantasy|Mystery|Sci-Fi,kidnapping,Adventure Drama Fantasy Mystery Sci-Fi kidnapping
15,31,Dangerous Minds (1995),474,3.0,2,3.397501777780404,Drama,high school,Drama high school
16,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),424,4.35,10,4.231486055691416,Mystery|Sci-Fi|Thriller,time travel,Mystery Sci-Fi Thriller time travel
17,34,Babe (1995),474,4.333333333333333,3,4.0678191897439895,Children|Drama,Animal movie,Children Drama Animal movie
18,36,Dead Man Walking (1995),474,5.0,2,4.31193025997903,Crime|Drama,death penalty,Crime Drama death penalty
19,38,It Takes Two (1995),474,1.0,1,2.922591373462694,Children|Comedy,twins,Children Comedy twins
20,39,Clueless (1995),357,4.214285714285714,7,4.0922181131525575,Comedy|Romance,chick flick,Comedy Romance chick flick
21,41,Richard III (1995),474,3.5,1,3.6634820617218034,Drama|War,Shakespeare,Drama War Shakespeare
22,43,Restoration (1995),474,3.5,1,3.6634820617218034,Drama,England,Drama England
23,45,To Die For (1995),474,4.0,1,3.811660199373625,Comedy|Drama|Thriller,Journalism,Comedy Drama Thriller Journalism
24,46,How to Make an American Quilt (1995),474,3.0,1,3.5153039240699813,Drama|Romance,wedding,Drama Romance wedding
25,47,Seven (a.k.a. Se7en) (1995),424,4.666666666666667,3,4.253889347344396,Mystery|Thriller,mystery,Mystery Thriller mystery
26,50,"Usual Suspects, The (1995)",424,4.833333333333333,6,4.521174664347936,Crime|Mystery|Thriller,mindfuck,Crime Mystery Thriller mindfuck
27,52,Mighty Aphrodite (1995),474,4.0,2,3.854716018879717,Comedy|Drama|Romance,adoption,Comedy Drama Romance adoption
28,58,"Postman, The (Postino, Il) (1994)",474,3.5,1,3.6634820617218034,Comedy|Drama|Romance,writing,Comedy Drama Romance writing
29,62,Mr. Holland's Opus (1995),474,2.5,1,3.3671257864181596,Drama,music,Drama music
30,92,Mary Reilly (1996),474,3.5,1,3.6634820617218034,Drama|Horror|Thriller,Jekyll and Hyde,Drama Horror Thriller Jekyll and Hyde
31,96,In the Bleak Midwinter (1995),474,3.5,1,3.6634820617218034,Comedy|Drama,theater,Comedy Drama theater
32,101,Bottle Rocket (1996),474,3.1666666666666665,3,3.416573638142566,Adventure|Comedy|Crime|Romance,crime,Adventure Comedy Crime Romance crime
33,104,Happy Gilmore (1996),167,3.3333333333333335,3,3.509608716942769,Comedy,test tag,Comedy test tag
